dive_id,image_id,taken_datetime,fish_angle_degrees,angle_category,length_m,depth_m
87,14583,2023-08-31 14:15:17,0,x < 5°,0.4338,1.953
87,14584,2023-08-31 14:15:18,0,x < 5°,0.4430,1.995
87,14585,2023-08-31 14:15:18,0,x < 5°,0.4389,1.980
87,14586,2023-08-31 14:15:18,0,x < 5°,0.4412,1.992
87,14588,2023-08-31 14:15:19,0,x < 5°,0.4479,2.016
87,14587,2023-08-31 14:15:19,0,x < 5°,0.4320,1.947
87,14589,2023-08-31 14:15:19,0,x < 5°,0.4348,1.958
87,14590,2023-08-31 14:15:20,0,x < 5°,0.4378,1.978
87,14591,2023-08-31 14:15:20,0,x < 5°,0.4394,1.982
87,14592,2023-08-31 14:15:21,0,x < 5°,0.4324,1.957
87,14593,2023-08-31 14:15:21,0,x < 5°,0.4422,2.002
87,14594,2023-08-31 14:15:21,0,x < 5°,0.4367,1.978
87,14595,2023-08-31 14:15:21,0,x < 5°,0.4348,1.968
87,14596,2023-08-31 14:15:22,0,x < 5°,0.4356,1.965
87,14599,2023-08-31 14:15:23,0,x < 5°,0.4315,1.947
87,14597,2023-08-31 14:15:23,0,x < 5°,0.4386,1.973
87,14598,2023-08-31 14:15:23,0,x < 5°,0.4399,1.985
87,14601,2023-08-31 14:15:24,0,x < 5°,0.4365,1.967
87,14600,2023-08-31 14:15:24,0,x < 5°,0.4389,1.984
87,14602,2023-08-31 14:15:25,0,x < 5°,0.4401,1.985
87,14603,2023-08-31 14:15:25,0,x < 5°,0.4439,1.997
87,14604,2023-08-31 14:15:25,0,x < 5°,0.4470,2.014
87,14605,2023-08-31 14:15:31,5,5° < x < 10°,0.4356,1.963
87,14606,2023-08-31 14:15:31,5,5° < x < 10°,0.4332,1.952
87,14607,2023-08-31 14:15:31,5,5° < x < 10°,0.4380,1.979
87,14608,2023-08-31 14:15:32,5,5° < x < 10°,0.4346,1.953
87,14609,2023-08-31 14:15:33,5,5° < x < 10°,0.4311,1.944
87,14612,2023-08-31 14:15:33,5,5° < x < 10°,0.4268,1.916
87,14611,2023-08-31 14:15:33,5,5° < x < 10°,0.4325,1.943
87,14610,2023-08-31 14:15:33,5,5° < x < 10°,0.4312,1.941
87,14613,2023-08-31 14:15:34,5,5° < x < 10°,0.4346,1.948
87,14614,2023-08-31 14:15:35,5,5° < x < 10°,0.4335,1.945
87,14616,2023-08-31 14:15:35,5,5° < x < 10°,0.4692,2.106
87,14615,2023-08-31 14:15:35,5,5° < x < 10°,0.4328,1.947
87,14617,2023-08-31 14:15:36,5,5° < x < 10°,0.4331,1.947
87,14619,2023-08-31 14:15:36,5,5° < x < 10°,0.4357,1.955
87,14618,2023-08-31 14:15:36,5,5° < x < 10°,0.4313,1.940
87,14620,2023-08-31 14:15:37,5,5° < x < 10°,0.4370,1.962
87,14622,2023-08-31 14:15:38,5,5° < x < 10°,0.4343,1.953
87,14621,2023-08-31 14:15:38,5,5° < x < 10°,0.4306,1.938
87,14623,2023-08-31 14:15:38,5,5° < x < 10°,0.4287,1.935
87,14624,2023-08-31 14:15:39,5,5° < x < 10°,0.4318,1.940
87,14626,2023-08-31 14:15:47,10,5° < x < 10°,0.4217,1.946
87,14628,2023-08-31 14:15:47,10,5° < x < 10°,0.4244,1.957
87,14627,2023-08-31 14:15:47,10,5° < x < 10°,0.4304,1.985
87,14625,2023-08-31 14:15:47,10,5° < x < 10°,0.4306,1.989
87,14629,2023-08-31 14:15:48,10,5° < x < 10°,0.4278,1.969
87,14631,2023-08-31 14:15:49,10,5° < x < 10°,0.4273,1.968
