dive_id,camera_id,dive_name,standard,dive_date,baseline_m
32,1,H Slate Dive 1,slate,2023-08-03,0.10550737300308702
77,1,082929_Slate_FSL01,slate,2023-08-29,0.10366717404207268
114,1,083123_Fish Degree Angle Test_FSL-01,slate,2023-08-31,0.10270037762532874
341,1,031424_Alligator0_FSL01,slate,2024-03-13,0.10228828689976413
489,2,2023-08-14 ED-00 FSL-02D LaserCalibration2,checkerboard,2023-08-14,0.10374921852374071
490,2,2023-08-14 ED-00 FSL-02D LaserCalibration3,checkerboard,2023-08-14,0.10285181691247137
521,2,2023-08-18 Nathans Pool 08_18_Pool_Test_FSL-02,checkerboard,2023-08-18,0.1049083737499157
71,2,082923_Slate_FSL02,slate,2023-08-29,0.10489507090854949
347,2,031424_Alligator0_FSL02,slate,2024-03-14,0.10100803598795582
493,3,2023-08-14 ED-00 FSL-03D LaserCalibration,checkerboard,2023-08-14,0.10554528324474267
522,3,2023-08-18 Nathans Pool 08_18_Pool_Test_FSL-03,checkerboard,2023-08-18,0.1033441878858206
63,3,082923_Slate_FSL03,slate,2023-08-29,0.10434878616031389
383,3,062624_FiveSeas_FSL03,slate,2024-06-26,0.10542979125080118
471,3,121024_Alligator2_FSL03,slate,2024-12-10,0.10404504801987072
496,4,2023-08-14 ED-00 FSL-04D LaserCalibration,checkerboard,2023-08-14,0.10443535871159147
509,4,2023-08-18 Nathans Pool 04,checkerboard,2023-08-18,0.10469916496498442
65,4,082929_Slate_FSL04,slate,2023-08-29,0.10448278217852125
94,4,083123_Fish Deg Angle Tests_FSL04,slate,2023-08-31,0.09867660062740555
436,4,101624_Alligator0_FSL04,slate,2024-10-16,0.10501418012809034
465,4,121024_Alligator2_FSL04,slate,2024-12-10,0.10217399020897502
499,5,2023-08-14 ED-00 FSL-05D LaserCalibration,checkerboard,2023-08-14,0.1045584484154919
62,5,082929_Slate_FSL05,slate,2023-08-29,0.10373429790597832
107,5,083123_Fish Deg Angle Test_FSL05,slate,2023-08-31,0.1295419516774552
279,5,111323_Alligator DeepEast Drift2_FSL05,slate,2023-11-13,0.10258946641495435
502,6,2023-08-14 ED-00 FSL-06D LaserCalibration,checkerboard,2023-08-14,0.10393533690624565
80,6,082929_Slate_FSL06,slate,2023-08-29,0.10438697840035042
87,6,083123_Fish Deg Angle Tests_FSL06,slate,2023-08-31,0.10199985893601059
349,6,031424_Alligator0_FSL06,slate,2024-03-14,0.10517140586340629
505,10,2023-08-14 ED-00 FSL-07D LaserCalibration,checkerboard,2023-08-14,0.10427875276503658
518,10,2023-08-18 Nathans Pool 07/LaserCalibration,checkerboard,2023-08-18,0.10400227092709532
83,10,082929_Slate_FSL07,slate,2023-08-29,0.10368495867615796
