DateSiteCam,Site,Year,Date,DateSite,CameraNum,OpCode,FilemeLeft,FilemeRight,Time,Length,Precision,RMS,Range,Direction,HorzDir,VertDir,MidX,MidY,MidZ,Family,Genus,Species,SciName,Common,Code,FishID,number,phase,datesitefishid,Habitat,Notes,Comment,NumMeasured,status,SiteID,Latitude_x,Longitude_y,BottomTime,AvgDepth,MaxDepth,AvgTemp,StartTime,Common_Species,camtype,,,
101524Alligator2SV1,Alligator2,2024,101524,101524Alligator2,SV1,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101524Alligator2,,,,0,spa,34040293,24.84625,-80.623,59.75,5.909224319,7.9,28.44011181,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101624Alligator0SV1,Alligator0,2024,101624,101624Alligator0,SV1,101624_Alligator0_SV1,101624_Alligator0_L1_GP020239.MP4,101624_Alligator0_R1_GP020134.MP4,36.34214,730.24116,1.59356,4.46009,1697.27871,14.77508,5.98182,2.17168,77.25637,-425.89852,-1641.15719,Epinephelidae,Epinephelus,itajara,Epinephelus itajara,Atlantic Goliath Grouper,96,goliath01,,,101624Alligator0_goliath01,ledge,,goliath01,1,spa,34040299,24.845267,-80.624067,59.91666667,5.229485396,7.7,28.63393602,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101823Alligator2SV3,Alligator2,2023,101823,101823Alligator2,SV3,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101823Alligator2,,,,0,spa,34040293,24.84625,-80.623,59.41666667,6.06227209,7.9,27.8141655,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101823Alligator4SV1,Alligator4,2023,101823,101823Alligator4,SV1,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101823Alligator4,,,,0,spa,34040296,24.846883,-80.621783,62.66666667,4.024069149,7.9,28.49202128,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101823Alligator4SV3,Alligator4,2023,101823,101823Alligator4,SV3,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101823Alligator4,,,,0,spa,34040296,24.846883,-80.621783,62.16666667,5.120643432,7.6,28.27627346,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101823Alligator5SV1,Alligator5,2023,101823,101823Alligator5,SV1,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101823Alligator5,,,,0,none,34040297,24.841083,-80.622583,,,,,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101823Alligator5SV3,Alligator5,2023,101823,101823Alligator5,SV3,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101823Alligator5,,,,0,none,34040297,24.841083,-80.622583,51.66666667,12.32258065,15.9,28.31064516,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101823Alligator5SV3,Alligator5,2023,101823,101823Alligator5,SV3,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101823Alligator5,,,,0,none,34040297,24.841083,-80.622583,49.66666667,16.39865772,22.4,28.15805369,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101923Alligator2SV2,Alligator2,2023,101923,101923Alligator2,SV2,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101923Alligator2,,,,0,spa,34040293,24.84625,-80.623,77.58333333,5.335123523,7.5,28.37239527,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
101923Alligator5SV2,Alligator5,2023,101923,101923Alligator5,SV2,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,101923Alligator5,,,,0,none,34040297,24.841083,-80.622583,50.41666667,16.17322314,23.2,28.04082645,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
111423Alligator6SV2,Alligator6,2023,111423,111423Alligator6,SV2,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,111423Alligator6,,,,0,none,34040298,24.8417,-80.6185,54.5,18.6706422,28.6,27.49648318,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
120123Alligator0SV2,Alligator0,2023,120123,120123Alligator0,SV2,,,,,,,,,,,,,,,,,,Epinephelus itajara,Atlantic Goliath Grouper,,,,,120123Alligator0,,,,0,spa,34040299,24.845267,-80.624067,61.91666667,7.108882907,8.8,27.38142665,,Atlantic Goliath Grouper (Epinephelus itajara),SV,,,
